Date ,close 
2019-01-01,2656.85
2019-01-02,2614.05
2019-01-03,2586.2
2019-01-04,2576.05
2019-01-07,2553.6
2019-01-08,2537.05
2019-01-09,2524.35
2019-01-10,2514.65
2019-01-11,2514.2
2019-01-14,2544.8
2019-01-15,2604.2
2019-01-16,2569.85
2019-01-17,2535.9
2019-01-18,2542.9
2019-01-21,2594.2
2019-01-22,2621.9
2019-01-23,2634.35
2019-01-24,2635.65
2019-01-25,2599.55
2019-01-28,2458.5
2019-01-29,2515.55
2019-01-30,2595.5
2019-01-31,2574.85
2019-02-01,2628.4
2019-02-04,2594.45
2019-02-05,2603.6
2019-02-06,2711.25
2019-02-07,2696.6
2019-02-08,2707.15
2019-02-11,2657.2
2019-02-12,2621.8
2019-02-13,2590.55
2019-02-14,2609.2
2019-02-15,2561.1
2019-02-18,2549.45
2019-02-19,2559.8
2019-02-20,2606.15
2019-02-21,2654.7
2019-02-22,2640.4
2019-02-25,2657.75
2019-02-26,2657.75
2019-02-27,2642.0
2019-02-28,2649.0
2019-03-01,2660.75
2019-03-05,2695.15
2019-03-06,2766.7
2019-03-07,2734.8
2019-03-08,2768.3
2019-03-11,2791.05
2019-03-12,2753.05
2019-03-13,2828.15
2019-03-14,2808.1
2019-03-15,2860.75
2019-03-18,2929.55
2019-03-19,2920.9
2019-03-20,2868.6
2019-03-22,2836.65
2019-03-25,2849.8
2019-03-26,2934.35
2019-03-27,2945.25
2019-03-28,2995.85
2019-03-29,3025.0
2019-04-01,3001.45
2019-04-02,3055.2
2019-04-03,3046.0
2019-04-04,3039.45
2019-04-05,3114.2
2019-04-08,3024.1
2019-04-09,3008.7
2019-04-10,2998.35
2019-04-11,3047.85
2019-04-12,3008.8
2019-04-15,3022.25
2019-04-16,3032.5
2019-04-18,3014.45
2019-04-22,2991.25
2019-04-23,3035.05
2019-04-24,3093.05
2019-04-25,3081.0
2019-04-26,3096.85
2019-04-30,3095.95
2019-05-02,3131.75
2019-05-03,3111.85
2019-05-06,3034.3
2019-05-07,3017.05
2019-05-08,2921.3
2019-05-09,2971.35
2019-05-10,2922.85
2019-05-13,2931.85
2019-05-14,2881.85
2019-05-15,3002.75
2019-05-16,3110.05
2019-05-17,3301.1
2019-05-20,3407.55
2019-05-21,3433.3
2019-05-22,3448.9
2019-05-23,3377.75
2019-05-24,3467.9
2019-05-27,3449.0
2019-05-28,3409.8
2019-05-29,3409.25
2019-05-30,3481.65
2019-05-31,3467.1
2019-06-03,3511.05
2019-06-04,3531.15
2019-06-06,3452.95
2019-06-07,3509.45
2019-06-10,3519.6
2019-06-11,3551.85
2019-06-12,3505.85
2019-06-13,3544.5
2019-06-14,3518.4
2019-06-17,3466.5
2019-06-18,3509.3
2019-06-19,3525.5
2019-06-20,3582.55
2019-06-21,3565.85
2019-06-24,3545.35
2019-06-25,3579.85
2019-06-26,3627.95
2019-06-27,3642.2
2019-06-28,3681.1
