Date ,close 
2019-01-01,7476.8
2019-01-02,7267.85
2019-01-03,7203.95
2019-01-04,7234.5
2019-01-07,7362.05
2019-01-08,7439.5
2019-01-09,7492.9
2019-01-10,7391.6
2019-01-11,7320.5
2019-01-14,7408.7
2019-01-15,7355.15
2019-01-16,7310.25
2019-01-17,7336.25
2019-01-18,7357.95
2019-01-21,7208.4
2019-01-22,7068.85
2019-01-23,7045.4
2019-01-24,7040.6
2019-01-25,6513.4
2019-01-28,6511.05
2019-01-29,6526.95
2019-01-30,6548.25
2019-01-31,6641.15
2019-02-01,6962.3
2019-02-04,6988.2
2019-02-05,7093.6
2019-02-06,7183.4
2019-02-07,7302.55
2019-02-08,7134.25
2019-02-11,7177.9
2019-02-12,7162.5
2019-02-13,7028.25
2019-02-14,7017.5
2019-02-15,6930.05
2019-02-18,6842.7
2019-02-19,6804.55
2019-02-20,6849.9
2019-02-21,6801.55
2019-02-22,6912.4
2019-02-25,6924.9
2019-02-26,6904.3
2019-02-27,6968.5
2019-02-28,6829.7
2019-03-01,6935.15
2019-03-05,7117.75
2019-03-06,7056.9
2019-03-07,7029.05
2019-03-08,6967.7
2019-03-11,7081.9
2019-03-12,7157.2
2019-03-13,7091.05
2019-03-14,7086.3
2019-03-15,7084.0
2019-03-18,6909.1
2019-03-19,6825.2
2019-03-20,6673.55
2019-03-22,6552.7
2019-03-25,6522.6
2019-03-26,6585.7
2019-03-27,6518.0
2019-03-28,6596.25
2019-03-29,6672.55
2019-04-01,6840.7
2019-04-02,6889.7
2019-04-03,7072.9
2019-04-04,7113.1
2019-04-05,7107.7
2019-04-08,7129.45
2019-04-09,7216.55
2019-04-10,7186.35
2019-04-11,7187.85
2019-04-12,7342.85
2019-04-15,7352.5
2019-04-16,7458.55
2019-04-18,7447.45
2019-04-22,7321.25
2019-04-23,7048.9
2019-04-24,7016.7
2019-04-25,6905.25
2019-04-26,6842.85
2019-04-30,6666.4
2019-05-02,6683.25
2019-05-03,6710.0
2019-05-06,6709.65
2019-05-07,6702.0
2019-05-08,6650.15
2019-05-09,6624.95
2019-05-10,6631.6
2019-05-13,6543.75
2019-05-14,6576.2
2019-05-15,6493.75
2019-05-16,6479.65
2019-05-17,6706.85
2019-05-20,7084.6
2019-05-21,6875.35
2019-05-22,6899.8
2019-05-23,6929.25
2019-05-24,7093.15
2019-05-27,7068.45
2019-05-28,7054.65
2019-05-29,6891.45
2019-05-30,6867.7
2019-05-31,6869.85
2019-06-03,7022.9
2019-06-04,7051.8
2019-06-06,6988.7
2019-06-07,6948.25
2019-06-10,6969.95
2019-06-11,6978.3
2019-06-12,6852.0
2019-06-13,6784.7
2019-06-14,6747.4
2019-06-17,6581.65
2019-06-18,6439.0
2019-06-19,6424.65
2019-06-20,6616.75
2019-06-21,6417.25
2019-06-24,6459.9
2019-06-25,6522.5
2019-06-26,6480.3
2019-06-27,6486.7
2019-06-28,6534.65
2019-07-01,6507.85
2019-07-02,6560.0
2019-07-03,6533.8
2019-07-04,6544.45
2019-07-05,6360.0
2019-07-08,6038.7
2019-07-09,5945.45
2019-07-10,5927.9
2019-07-11,6031.2
2019-07-12,5971.45
2019-07-15,6079.7
2019-07-16,6158.05
2019-07-17,6075.7
2019-07-18,5882.35
2019-07-19,5769.1
2019-07-22,5912.5
2019-07-23,5873.75
2019-07-24,5768.0
2019-07-25,5756.75
2019-07-26,5805.65
2019-07-29,5561.25
2019-07-30,5507.15
2019-07-31,5469.7
2019-08-01,5572.6
2019-08-02,5689.35
2019-08-05,5670.35
2019-08-06,5833.3
2019-08-07,5775.0
2019-08-08,5902.25
2019-08-09,6099.9
2019-08-13,5815.45
2019-08-14,5816.0
2019-08-16,5975.05
2019-08-19,5982.55
2019-08-20,6190.95
2019-08-21,6228.9
2019-08-22,6208.55
2019-08-23,6254.35
2019-08-26,6255.55
2019-08-27,6277.75
2019-08-28,6103.4
2019-08-29,6110.2
2019-08-30,6123.75
2019-09-03,6049.7
2019-09-04,5830.75
2019-09-05,5968.65
2019-09-06,6186.95
2019-09-09,6335.5
2019-09-11,6597.3
2019-09-12,6392.05
2019-09-13,6450.3
2019-09-16,6412.75
2019-09-17,6130.4
2019-09-18,6095.05
2019-09-19,5971.75
2019-09-20,6591.95
2019-09-23,6897.85
2019-09-24,7009.1
2019-09-25,6638.5
2019-09-26,6857.45
2019-09-27,6773.7
2019-09-30,6715.8
2019-10-01,6782.0
2019-10-03,6754.05
2019-10-04,6649.6
2019-10-07,6629.85
2019-10-09,6719.55
2019-10-10,6605.45
2019-10-11,6698.9
2019-10-14,6821.1
2019-10-15,6985.75
2019-10-16,6975.0
2019-10-17,7123.9
2019-10-18,7302.3
2019-10-22,7256.25
2019-10-23,7440.25
2019-10-24,7391.4
2019-10-25,7471.15
2019-10-27,7422.1
2019-10-29,7721.3
2019-10-30,7556.95
2019-10-31,7559.4
2019-11-01,7618.65
2019-11-04,7424.0
2019-11-05,7389.0
2019-11-06,7311.15
2019-11-07,7287.15
2019-11-08,7200.55
2019-11-11,7137.3
2019-11-13,7154.6
2019-11-14,7247.15
2019-11-15,7147.2
2019-11-18,7098.45
2019-11-19,7045.45
2019-11-20,7152.75
2019-11-21,7019.05
2019-11-22,7060.45
2019-11-25,7236.1
2019-11-26,7125.0
2019-11-27,7294.4
2019-11-28,7261.25
2019-11-29,7245.85
2019-12-02,7139.35
2019-12-03,7138.8
2019-12-04,7076.1
2019-12-05,7012.85
2019-12-06,6886.7
2019-12-09,6994.75
2019-12-10,6963.65
2019-12-11,6993.2
2019-12-12,6999.8
2019-12-13,7214.95
2019-12-16,7140.05
2019-12-17,7195.15
2019-12-18,7240.65
2019-12-19,7240.65
2019-12-20,7261.5
2019-12-23,7360.9
2019-12-24,7327.8
2019-12-26,7240.9
2019-12-27,7344.9
2019-12-30,7416.25
2019-12-31,7368.6
2020-01-01,7311.7
2020-01-02,7329.85
2020-01-03,7254.25
2020-01-06,7042.4
2020-01-07,7073.6
2020-01-08,7035.2
2020-01-09,7227.9
2020-01-10,7330.5
2020-01-13,7352.7
2020-01-14,7386.8
2020-01-15,7482.95
2020-01-16,7462.65
2020-01-17,7520.15
2020-01-20,7449.6
2020-01-21,7302.65
2020-01-22,7135.6
2020-01-23,7147.1
2020-01-24,7128.45
2020-01-27,7148.8
2020-01-28,6997.05
2020-01-29,7010.3
2020-01-30,7020.45
2020-01-31,6913.5
2020-02-01,6812.65
2020-02-03,7011.3
2020-02-04,7199.6
2020-02-05,7040.9
2020-02-06,7021.6
2020-02-07,6971.75
2020-02-10,6892.9
2020-02-11,7033.75
2020-02-12,7043.3
2020-02-13,7005.05
2020-02-14,6913.8
2020-02-17,6906.75
2020-02-18,6781.1
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-19,6756.6
2020-02-20,6757.6
2020-02-24,6470.4
2020-02-25,6414.55
2020-02-26,6234.85
2020-02-27,6289.8
2020-02-28,6283.1
2020-03-02,6285.15
