Date ,close 
2019-01-01,1121.0
2019-01-02,1106.4
2019-01-03,1092.75
2019-01-04,1098.65
2019-01-07,1104.75
2019-01-08,1104.65
2019-01-09,1110.75
2019-01-10,1107.5
2019-01-11,1098.05
2019-01-14,1096.8
2019-01-15,1129.65
2019-01-16,1135.9
2019-01-17,1134.45
2019-01-18,1184.35
2019-01-21,1237.7
2019-01-22,1235.15
2019-01-23,1226.3
2019-01-24,1247.45
2019-01-25,1246.0
2019-01-28,1229.55
2019-01-29,1210.65
2019-01-30,1195.7
2019-01-31,1227.15
2019-02-01,1249.95
2019-02-04,1290.9
2019-02-05,1291.55
2019-02-06,1310.25
2019-02-07,1290.4
2019-02-08,1277.7
2019-02-11,1253.25
2019-02-12,1256.4
2019-02-13,1245.95
2019-02-14,1224.2
2019-02-15,1244.45
2019-02-18,1220.1
2019-02-19,1216.1
2019-02-20,1234.35
2019-02-21,1246.9
2019-02-22,1232.35
2019-02-25,1232.3
2019-02-26,1220.25
2019-02-27,1223.5
2019-02-28,1231.05
2019-03-01,1226.05
2019-03-05,1237.65
2019-03-06,1264.8
2019-03-07,1270.25
2019-03-08,1267.1
2019-03-11,1304.1
2019-03-12,1331.35
2019-03-13,1347.3
2019-03-14,1341.55
2019-03-15,1321.65
2019-03-18,1350.05
2019-03-19,1376.55
2019-03-20,1375.45
2019-03-22,1341.75
2019-03-25,1324.45
2019-03-26,1367.25
2019-03-27,1349.25
2019-03-28,1360.0
2019-03-29,1363.25
2019-04-01,1391.85
2019-04-02,1389.7
2019-04-03,1375.2
2019-04-04,1353.05
2019-04-05,1353.9
2019-04-08,1329.25
2019-04-09,1334.45
2019-04-10,1331.4
2019-04-11,1346.8
2019-04-12,1343.1
2019-04-15,1340.15
2019-04-16,1343.75
2019-04-18,1385.95
2019-04-22,1345.35
2019-04-23,1363.85
2019-04-24,1389.5
2019-04-25,1372.4
2019-04-26,1392.8
2019-04-30,1392.8
2019-05-02,1405.05
2019-05-03,1408.85
2019-05-06,1384.9
2019-05-07,1343.5
2019-05-08,1299.45
2019-05-09,1256.45
2019-05-10,1251.15
2019-05-13,1232.05
2019-05-14,1260.45
2019-05-15,1256.9
2019-05-16,1265.35
2019-05-17,1267.4
2019-05-20,1325.9
2019-05-21,1339.8
2019-05-22,1340.4
2019-05-23,1333.9
2019-05-24,1336.85
2019-05-27,1310.65
2019-05-28,1323.75
2019-05-29,1313.05
2019-05-30,1329.75
2019-05-31,1330.15
2019-06-03,1360.2
2019-06-04,1351.65
2019-06-06,1327.35
2019-06-07,1314.9
2019-06-10,1319.15
2019-06-11,1329.15
2019-06-12,1332.15
2019-06-13,1327.25
2019-06-14,1317.55
2019-06-17,1282.3
2019-06-18,1281.0
2019-06-19,1277.35
2019-06-20,1296.75
2019-06-21,1279.5
2019-06-24,1262.4
2019-06-25,1295.85
2019-06-26,1294.15
2019-06-27,1274.15
2019-06-28,1253.1
2019-07-01,1268.85
2019-07-02,1278.5
2019-07-03,1282.55
2019-07-04,1284.0
2019-07-05,1263.35
2019-07-08,1252.05
2019-07-09,1280.1
2019-07-10,1278.85
2019-07-11,1281.55
2019-07-12,1280.5
2019-07-15,1276.1
2019-07-16,1293.0
2019-07-17,1281.85
2019-07-18,1261.85
2019-07-19,1249.0
2019-07-22,1280.5
2019-07-23,1273.55
2019-07-24,1259.1
2019-07-25,1231.5
2019-07-26,1213.8
2019-07-29,1210.95
2019-07-30,1180.9
2019-07-31,1166.25
2019-08-01,1180.25
2019-08-02,1184.35
2019-08-05,1143.35
2019-08-06,1128.3
2019-08-07,1109.4
2019-08-08,1152.35
2019-08-09,1162.1
2019-08-13,1274.75
2019-08-14,1288.25
2019-08-16,1278.0
2019-08-19,1292.6
2019-08-20,1275.95
2019-08-21,1270.95
2019-08-22,1246.75
2019-08-23,1275.85
2019-08-26,1266.8
2019-08-27,1274.85
2019-08-28,1263.3
2019-08-29,1241.75
2019-08-30,1248.55
2019-09-03,1206.4
2019-09-04,1201.15
2019-09-05,1198.6
2019-09-06,1222.5
2019-09-09,1222.2
2019-09-11,1234.4
2019-09-12,1210.35
2019-09-13,1225.6
2019-09-16,1210.75
2019-09-17,1197.45
2019-09-18,1205.7
2019-09-19,1179.05
2019-09-20,1254.35
2019-09-23,1239.2
2019-09-24,1278.7
2019-09-25,1279.55
2019-09-26,1296.8
2019-09-27,1309.05
2019-09-30,1332.25
2019-10-01,1304.9
2019-10-03,1311.05
2019-10-04,1308.1
2019-10-07,1310.1
2019-10-09,1324.75
2019-10-10,1362.75
2019-10-11,1352.6
2019-10-14,1358.0
2019-10-15,1364.15
2019-10-16,1372.35
2019-10-17,1396.5
2019-10-18,1416.35
2019-10-22,1414.15
2019-10-23,1392.4
2019-10-24,1436.45
2019-10-25,1431.2
2019-10-27,1434.25
2019-10-29,1467.05
2019-10-30,1479.1
2019-10-31,1464.35
2019-11-01,1456.9
2019-11-04,1457.65
2019-11-05,1447.3
2019-11-06,1434.9
2019-11-07,1458.6
2019-11-08,1445.5
2019-11-11,1427.8
2019-11-13,1472.3
2019-11-14,1462.75
2019-11-15,1470.85
2019-11-18,1459.2
2019-11-19,1509.75
2019-11-20,1547.65
2019-11-21,1537.6
2019-11-22,1546.5
2019-11-25,1561.55
2019-11-26,1560.25
2019-11-27,1569.85
2019-11-28,1580.3
2019-11-29,1551.15
2019-12-02,1586.5
2019-12-03,1578.9
2019-12-04,1552.7
2019-12-05,1550.85
2019-12-06,1554.9
2019-12-09,1572.6
2019-12-10,1561.95
2019-12-11,1562.4
2019-12-12,1568.2
2019-12-13,1582.9
2019-12-16,1566.6
2019-12-17,1562.7
2019-12-18,1575.85
2019-12-19,1609.95
2019-12-20,1599.1
2019-12-23,1571.4
2019-12-24,1546.45
2019-12-26,1515.4
2019-12-27,1542.35
2019-12-30,1544.2
2019-12-31,1514.05
2020-01-01,1509.6
2020-01-02,1535.3
2020-01-03,1537.15
2020-01-06,1501.5
2020-01-07,1524.6
2020-01-08,1513.15
2020-01-09,1548.0
2020-01-10,1547.65
2020-01-13,1543.7
2020-01-14,1529.4
2020-01-15,1523.85
2020-01-16,1537.9
2020-01-17,1581.0
2020-01-20,1532.35
2020-01-21,1533.9
2020-01-22,1533.35
2020-01-23,1526.85
2020-01-24,1521.55
2020-01-27,1506.55
2020-01-28,1471.75
2020-01-29,1479.85
2020-01-30,1443.75
2020-01-31,1411.65
2020-02-01,1383.35
2020-02-03,1385.5
2020-02-04,1426.4
2020-02-05,1448.5
2020-02-06,1457.8
2020-02-07,1433.65
2020-02-10,1435.6
2020-02-11,1452.75
2020-02-12,1470.3
2020-02-13,1474.15
2020-02-14,1487.6
2020-02-17,1478.25
2020-02-18,1467.4
2020-02-19,1503.8
2020-02-19,1503.8
2020-02-19,1503.8
2020-02-19,1503.8
2020-02-19,1503.8
2020-02-19,1503.8
2020-02-20,1485.95
2020-02-24,1444.95
2020-02-25,1416.4
2020-02-26,1392.0
2020-02-27,1386.25
2020-02-28,1328.65
2020-03-02,1316.15
2020-03-03,1342.85
2020-03-03,1342.85
2020-03-03,1342.85
2020-03-03,1342.85
2020-03-03,1342.85
2020-03-04,1339.7
2020-03-04,1339.7
2020-03-04,1339.7
2020-03-04,1339.7
2020-03-04,1339.7
2020-03-05,1311.15
2020-03-06,1271.0
2020-03-09,1114.15
2020-03-11,1153.55
2020-03-12,1063.0
2020-03-13,1105.3
2020-03-16,1015.7
2020-03-17,1008.0
2020-03-18,968.5
2020-03-19,917.7
2020-03-20,1017.95
2020-03-23,884.05
2020-03-24,943.4
2020-03-25,1082.25
2020-03-26,1066.2
2020-03-27,1065.6
2020-03-30,1030.45
2020-03-31,1113.75
2020-04-01,1080.45
2020-04-03,1077.45
2020-04-07,1206.1
2020-04-08,1192.15
2020-04-09,1219.95
2020-04-13,1189.15
2020-04-15,1149.85
2020-04-16,1168.05
2020-04-17,1224.0
2020-04-20,1243.8
2020-04-21,1237.35
2020-04-22,1363.6
2020-04-23,1370.9
2020-04-24,1417.0
2020-04-27,1429.75
2020-04-28,1428.15
2020-04-29,1426.95
2020-04-30,1466.0
2020-05-04,1435.2
2020-05-05,1460.65
2020-05-06,1460.75
2020-05-07,1506.95
2020-05-08,1561.8
2020-05-11,1576.8
2020-05-12,1479.25
2020-05-13,1496.45
2020-05-14,1435.95
2020-05-15,1459.4
2020-05-18,1440.75
2020-05-19,1408.9
2020-05-20,1433.7
2020-05-21,1441.25
2020-05-22,1431.55
2020-05-26,1424.05
2020-05-27,1445.55
2020-05-28,1472.25
2020-05-29,1464.4
2020-06-01,1520.35
2020-06-02,1535.7
2020-06-03,1541.65
2020-06-04,1579.8
2020-06-05,1581.7
2020-06-08,1569.5
2020-06-09,1537.15
2020-06-10,1572.15
2020-06-11,1537.7
2020-06-12,1588.8
2020-06-15,1614.55
2020-06-16,1617.7
2020-06-17,1615.35
2020-06-18,1655.9
2020-06-19,1759.4
2020-06-22,1746.15
2020-06-23,1720.9
2020-06-24,1727.85
2020-06-25,1717.9
2020-06-26,1741.65
2020-06-29,1723.15
2020-06-30,1704.1
2020-07-01,1737.6
2020-07-02,1760.35
2020-07-03,1787.9
2020-07-06,1851.8
2020-07-07,1823.45
2020-07-08,1798.0
2020-07-09,1824.25
2020-07-10,1878.05
2020-07-13,1935.0
2020-07-14,1917.0
2020-07-15,1844.0
2020-07-16,1843.4
2020-07-17,1911.7
2020-07-20,1919.9
2020-07-21,1971.55
2020-07-22,2004.0
2020-07-23,2057.8
2020-07-24,2146.15
2020-07-27,2156.2
2020-07-28,2177.7
2020-07-29,2096.65
2020-07-30,2108.85
2020-07-31,2067.1
